id,categoria,pregunta,respuesta,intencion,etiquetas
CP001,horarios,"¿Cuál es el horario de atención?","Nuestros horarios en Caja de los Andes son: lunes a viernes de 9:00 a 17:30 y sábados de 9:00 a 13:00. Si necesitas atención fuera de ese rango podemos coordinar una cita especial.",consulta_horarios,"horario;lunes a viernes;sábados"
CP002,horarios,"¿Cuál es el horario de atención en feriado?","En feriados nacionales las agencias permanecen cerradas, pero nuestros cajeros automáticos operan 24/7 y la línea gratuita 0800-52777 queda disponible para emergencias.",consulta_horarios,"feriado;cajeros;0800-52777"
CP003,agencias,"¿Dónde queda la agencia X?","La agencia X se encuentra en Jr. Principal 123, a media cuadra de la plaza central de Andahuaylas. Frente verás la municipalidad y un paradero de la ruta 7 para que llegues sin complicaciones. Aquí tienes el enlace al mapa oficial: https://maps.demo/caja-andes-x.",consulta_ubicacion,"agencia x;plaza;mapa"
CP004,reclamos,"¿Cuál es el estado de mi reclamo RC-12345?","Estoy revisando el caso RC-12345 y aparece en proceso: el equipo de calidad está validando los documentos y te enviaremos una actualización en menos de 48 horas.",seguimiento_reclamo,"rc-12345;en proceso;48 horas"
CP005,reclamos,"¿Mi reclamo RC-12345 ya se resolvió?","Según nuestros registros el reclamo RC-12345 se resolvió el 15/05/2024 y se cerró enviando la constancia a tu correo. Si necesitas otra copia puedo reenviarla.",seguimiento_reclamo,"rc-12345;resuelto;15/05/2024"
CP006,tarjetas,"Necesito bloquear mi tarjeta y es de noche","Como estamos fuera del horario de agencia puedes bloquear tu tarjeta al instante desde la app Caja Andes, en la banca web o llamando a la línea 0800-52777 que atiende 24/7. Mañana coordinamos la emisión de una nueva tarjeta.",bloqueo_tarjeta,"bloqueo nocturno;app;0800-52777"
CP007,tarjetas,"Necesito bloquear mi tarjeta y estoy en horario de oficina","Generé el bloqueo preventivo y te derivo con un agente humano para que revise tus últimos movimientos y confirme los pasos siguientes. Por favor espera en línea unos segundos.",bloqueo_tarjeta,"bloqueo oficina;agente humano;derivacion"
CP008,comprension,"blabla xyz 123","Lo siento, no entendí tu consulta. ¿Podrías reformularla o contarme mejor qué necesitas?",consulta_invalida,"error;reformular"
CP009,comprension,"xyz 123 abc","Lo siento, no entendí tu consulta. Puedes preguntarme por horarios, reclamos, ubicación de agencias o servicios de tarjetas. ¿Quieres intentar nuevamente?",consulta_invalida,"mensaje error;ejemplos"
CP009A,comprension,"explícame","Claro, aquí tienes algunos ejemplos: pregunta por horarios de atención, seguimiento de reclamos, bloqueo de tarjetas o requisitos de préstamos. ¿Cuál de esos temas te interesa?",consulta_orientacion,"ejemplos;reformular"
CP010,creditos,"Oye, ¿me puedes ayudar a saber mis opciones de crédito?","Tenemos créditos personales, microcréditos para negocios familiares y créditos agrícolas con periodos de gracia. Si me cuentas para qué necesitas el dinero te explico requisitos y plazos.",consulta_creditos,"creditos personales;microcreditos;agricola"
CP011,saldo,"¿Cuál es mi saldo?","Por seguridad no puedo mostrar montos en el chat. Revisa tu saldo en la app Caja Andes, en la banca digital o marcando *777#. Si necesitas guía paso a paso te acompaño en el proceso.",consulta_saldo,"app;*777#;banca digital"
CP012,transferencias,"¿Cómo hago una transferencia nacional?","Ingresa a la banca digital, elige ""Transferencias nacionales"", selecciona banco destino, tipo de cuenta, monto y confirma con tu token. Recibirás un comprobante que puedes descargar en PDF.",transferencia_nacional,"token;pdf;banca digital"
CP013,transferencias,"¿Cómo hago una transferencia internacional?","Para transferencias internacionales necesitas el código SWIFT del banco destino, el número de cuenta o IBAN y el motivo de la operación. Registra los datos en la banca digital y confirma; la acreditación tarda entre 24 y 72 horas hábiles.",transferencia_internacional,"swift;iban;72 horas"
CP014,faq,"¿Qué preguntas frecuentes hay?","Puedes revisar nuestra sección de preguntas frecuentes sobre horarios, apertura de cuentas, préstamos, canales digitales y seguridad. Te comparto el enlace para que explores cada tema: https://demo.cajaandes/faq.",consulta_faq,"faq;enlace;horarios"
CP015,escalacion,"Quiero hablar con un agente","Acabo de crear un ticket y te derivo con un agente humano de Caja de los Andes. Mantente en la conversación; en unos segundos se conectará contigo.",escalacion_agente,"ticket;derivacion;agente humano"
CP016,soporte,"Tengo una consulta que no resolviste","Lamento no haber resuelto tu consulta de inmediato. Mientras un agente revisa el caso puedo compartirte guías rápidas y preguntas frecuentes para que continúes explorando opciones.",soporte_autoservicio,"faq;guias;sin derivacion"
